Title (Address),Area (sq-ft),Price (Cr)
"2 BHK Flat for Sale in Swagat Callista, Bamroli, Surat",721 sqft,"₹
51.5 Lac"
"2 BHK Flat for Sale in Sagrampura, Surat",780 sqft,"₹
46.5 Lac"
"2 BHK Flat for Sale in Orchid Fantasia, Jahangirabad, Surat",750 sqft,"₹
47.5 Lac"
"2 BHK Flat for Sale in Bardoli, Surat",730 sqft,"₹
23 Lac"
"3 BHK Flat for Sale in Milestone Aquatica, Dumas, Surat",2000 sqft,"₹
1.75 Cr"
"2 BHK Flat for Sale in Rajgreen Punyabhoomi, Vesu, Surat",1741 sqft,"₹
82 Lac"
"4 BHK House for Sale in Someshwara Enclave, Vesu Surat",2025 sqft,"₹
3 Cr"
"3 BHK Flat for Sale in Rajhans Platinum Residency, Palanpur Gam, Surat",900 sqft,"₹
60 Lac"
"3 BHK Flat for Sale in Vatika Velly, Pal, Surat",1240 sqft,"₹
1.10 Cr"
"3 BHK Flat for Sale in Jolly Residency, Vesu, Surat",1200 sqft,"₹
1.25 Cr"
"3 BHK Flat for Sale in Shivdhara Residency, VIP Road, Surat",2000 sqft,"₹
85 Lac"
3 BHK Villa for Sale in Katargam Surat,1323 sqft,"₹
3.21 Cr"
2 BHK Apartment for Sale in Pasodara Surat,1065 sqft,"₹
24 Lac"
2 BHK Apartment for Sale in Sumul Dairy Road Surat,1000 sqft,"₹
42 Lac"
"2 BHK Apartment for Sale in Shiv Samarth 1, Pal Gam Surat",645 sqft,"₹
42 Lac"
"3 BHK Apartment for Sale in Sangath Homes, Palanpur Surat",2145 sqft,"₹
88 Lac"
2 BHK House for Sale in Pandesara Surat,360 sqft,"₹
30 Lac"
"2 BHK House for Sale in Gruham Royal Park, Olpad Sayan Road Surat",750 sqft,"₹
18.5 Lac"
"2 BHK Apartment for Sale in Rajhans Swapna, Varacha Surat",1200 sqft,"₹
38.7 Lac"
4 BHK Apartment for Sale in Bhatha Surat,1160 sqft,"₹
1.37 Cr"
2 BHK Villa for Sale in Olpad Sayan Road Surat,90 sqyrd,"₹
36.5 Lac"
"2 BHK Apartment for Sale in The Centrum, Jahangirabad Surat",1395 sqft,"₹
53 Lac"
"2 BHK Apartment for Sale in Pramukh Amaya, Palanpur Surat",1311 sqft,"₹
55.7 Lac"
"2 BHK Apartment for Sale in Shubham Residency, Pal Surat",1300 sqft,"₹
50 Lac"
"3 BHK Apartment for Sale in Nakshatra View, Palanpur Gam Surat",1612 sqft,"₹
65 Lac"
"4 BHK Apartment for Sale in Oliva Pride, Althan Surat",1400 sqft,"₹
1.19 Cr"
"3 BHK Apartment for Sale in Shukan Lifestyle, Pal Surat",2034 sqft,"₹
1.35 Cr"
"3 BHK Apartment for Sale in Central Park, Pal Surat",2270 sqft,"₹
1.24 Cr"
"4 BHK Apartment for Sale in Avadh Ercole, Vesu Surat",3800 sqft,"₹
2.16 Cr"
4 BHK House for Sale in Dindoli Surat,2961 sqft,"₹
1.21 Cr"
"4 BHK Apartment for Sale in Rameshwaram Devbhoomi, Vesu Surat",2100 sqft,"₹
2.70 Cr"
"2 BHK Apartment for Sale in Aditya Vrundavan Heights, Dindoli Surat",1120 sqft,"₹
35 Lac"
"3 BHK Villa for Sale in Avadh Shangrila, Baleshwar Surat",827 sqft,"₹
66 Lac"
2 BHK Apartment for Sale in Society Surat,700 sqft,"₹
30 Lac"
3 BHK Apartment for Sale in Ghod Dod Road Surat,1650 sqft,"₹
85 Lac"
3 BHK Apartment for Sale in Mota Varachha Surat,1815 sqft,"₹
79 Lac"
3 BHK House for Sale in Green Park Society Dindoli Surat,900 sqft,"₹
46.5 Lac"
"2 BHK Apartment for Sale in Western Height, Adajan Surat",750 sqft,"₹
55 Lac"
"4 BHK Apartment for Sale in Rajgreen Vanilla Sky, Vesu Surat",2835 sqft,"₹
3.67 Cr"
2 BHK Apartment for Sale in Anand Mahal Road Surat,1310 sqft,"₹
40 Lac"
"3 BHK Apartment for Sale in Rajhans Platinum, Palanpur Surat",1000 sqft,"₹
52 Lac"
"3 BHK Apartment for Sale in Star World, Pal Surat",1754 sqft,"₹
85 Lac"
3 BHK Villa for Sale in Masma Village Surat,1440 sqft,"₹
37 Lac"
2 BHK Apartment for Sale in Swagat Residecy Surat,700 sqft,"₹
34.5 Lac"
2 BHK Apartment for Sale in jahgirabad Surat,1152 sqft,"₹
40 Lac"
2 BHK Apartment for Sale in Jahangirabad Surat,916 sqft,"₹
38 Lac"
"3 BHK Apartment for Sale in Vaishnodevi Kingsley, Pal Surat",1180 sqft,"₹
1.45 Cr"
3 BHK Apartment for Sale in Jahangirabad Surat,850 sqft,"₹
35 Lac"
2 BHK House for Sale in Adajan Surat,78 sqm,"₹
68 Lac"
"2 BHK Apartment for Sale in Stuti Empress, Palanpur Surat",1248 sqft,"₹
42 Lac"
"2 BHK Apartment for Sale in Parishram Park, Jahangirabad Surat",970 sqft,"₹
35.5 Lac"
2 BHK Apartment for Sale in Pal Surat,1100 sqft,"₹
40 Lac"
3 BHK House for Sale in Althan Surat,1630 sqft,"₹
68 Lac"
4 BHK Villa for Sale in Adajan Surat,1620 sqyrd,"₹
1.70 Cr"
"3 BHK Apartment for Sale in Divine Residency, Palanpur Gam Surat",1657 sqft,"₹
90 Lac"
"3 BHK Apartment for Sale in Vama Apex, Althan Surat",129 sqyrd,"₹
85 Lac"
"2 BHK Apartment for Sale in Swagat Callista, Bamroli Surat",1245 sqft,"₹
48 Lac"
3 BHK Apartment for Sale in Althan Surat,1830 sqft,"₹
90 Lac"
"2 BHK Apartment for Sale in Sai Enclave, Althan Surat",1173 sqft,"₹
45 Lac"
2 BHK Apartment for Sale in Vesu Surat,1365 sqft,"₹
70 Lac"
3 BHK Villa for Sale in Adajan Surat,1000 sqft,"₹
80 Lac"
2 BHK House for Sale in Palsana Surat,819 sqft,"₹
30 Lac"
2 BHK Apartment for Sale in Palanpur Surat,1580 sqft,"₹
51 Lac"
"2 BHK Apartment for Sale in Narayan Coral Heights, Palanpur Surat",1245 sqft,"₹
45 Lac"
"3 BHK Apartment for Sale in Raghuvir Spalex, Vesu Surat",1046 sqft,"₹
95.1 Lac"
2 BHK Apartment for Sale in Pal Gam Surat,750 sqft,"₹
45 Lac"
"2 BHK Apartment for Sale in Swagat Clifton, Bhimrad Surat",1252 sqft,"₹
50 Lac"
"4 BHK Apartment for Sale in Madhav Platina, Jahangir Pura Surat",1953 sqft,"₹
1.10 Cr"
4 BHK Apartment for Sale in Vesu Surat,1650 sqft,"₹
1.85 Cr"
"3 BHK Apartment for Sale in Swapnabhoomi, Vesu Surat",2152 sqft,"₹
1.15 Cr"
"2 BHK Apartment for Sale in Santok Park, Dindoli Surat",970 sqft,"₹
27 Lac"
2 BHK House for Sale in Kamrej Char Rasta Surat,890 sqft,"₹
40 Lac"
3 BHK Villa for Sale in Vesu Surat,1200 sqft,"₹
2.30 Cr"
"2 BHK Apartment for Sale in Star World, Pal Surat",1268 sqft,"₹
48 Lac"
4 BHK Villa for Sale in Ghod Dod Road Surat,8500 sqft,"₹
7 Cr"
"3 BHK Apartment for Sale in Pratishatha Apartment, Piplod Surat",1800 sqft,"₹
90 Lac"
2 BHK Apartment for Sale in Ramnagar Surat,600 sqft,"₹
16.5 Lac"
3 BHK Apartment for Sale in Vesu Surat,2041 sqft,"₹
85 Lac"
"2 BHK Penthouse for Sale in Green Arcade, Adajan Surat",1360 sqft,"₹
55 Lac"
2 BHK House for Sale in Kawas Surat,1350 sqft,"₹
32.5 Lac"
2 BHK Apartment for Sale in Zapa Bazar Surat,1200 sqft,"₹
33 Lac"
"3 BHK Apartment for Sale in Rajhans Synfonia, Vesu Surat",1695 sqft,"₹
1.37 Cr"
2 BHK Apartment for Sale in Udhana Darwaja Surat,900 sqft,"₹
24 Lac"
4 BHK Apartment for Sale in sidharth banglow Surat,560 sqft,"₹
54.5 Lac"
"3 BHK Apartment for Sale in Vasant Vihar Township, Althan Surat",1420 sqft,"₹
68 Lac"
2 BHK Builder Floor for Sale in Palsana Surat,700 sqft,"₹
7.5 Lac"
4 BHK House for Sale in Kamrej Surat,1800 sqft,"₹
55 Lac"
"2 BHK Apartment for Sale in Vedant Antilla, Kosad Surat",1177 sqft,"₹
34 Lac"
4 BHK House for Sale in Jahangirabad Surat,112 sqyrd,"₹
1.15 Cr"
2 BHK Villa for Sale in Dabholi Surat,1600 sqft,"₹
85 Lac"
2 BHK Apartment for Sale in Jahangir Pura Surat,1100 sqft,"₹
39 Lac"
2 BHK Apartment for Sale in Honey Park Road Adajan Surat,900 sqft,"₹
35 Lac"
3 BHK Apartment for Sale in pal hazira road Surat,900 sqft,"₹
75 Lac"
"3 BHK Apartment for Sale in Happy Elegance, Vesu Surat",1643 sqft,"₹
95 Lac"
3 BHK Villa for Sale in Dindoli Surat,1200 sqft,"₹
62 Lac"
"3 BHK Apartment for Sale in Pramukh Amaya, Palanpur Surat",2111 sqft,"₹
1.05 Cr"
3 BHK House for Sale in Amroli Surat,1950 sqft,"₹
61 Lac"
"3 BHK Apartment for Sale in Bella Casaa, Althan Surat",2313 sqft,"₹
1.26 Cr"
2 BHK Villa for Sale in Surat Surat,20 sqft,"₹
23 Lac"
"3 BHK House for Sale in 23, Gokuldham Raw House, Bhatpore ,Surat Surat",133 sqyrd,"₹
65 Lac"
2 BHK Apartment for Sale in Palanpur Jakatnaka Surat,800 sqft,"₹
28.5 Lac"
2 BHK Apartment for Sale in Althan Surat,780 sqft,"₹
45.5 Lac"
3 BHK Apartment for Sale in Pankaj nagar Surat,850 sqft,"₹
41.7 Lac"
2 BHK Builder Floor for Sale in devdhgam Surat,734 sqft,"₹
26.5 Lac"
2 BHK Apartment for Sale in City Light Town Surat,900 sqft,"₹
48 Lac"
"2 BHK Apartment for Sale in Maa Gayatri Apartment, Citylight Area Surat",1000 sqft,"₹
36 Lac"
"3 BHK Villa for Sale in Mulberry Homes, Narthan Surat",892 sqft,"₹
60 Lac"
2 BHK Apartment for Sale in Nilkanth Residency Surat,660 sqft,"₹
45 Lac"
2 BHK House for Sale in Anand Mahal Road Surat,800 sqft,"₹
1.10 Cr"
3 BHK House for Sale in Jahangir Pura Surat,1540 sqft,"₹
1.26 Cr"
3 BHK Apartment for Sale in City Light Town Surat,1250 sqft,"₹
87 Lac"
3 BHK House for Sale in Kathor Surat,648 sqft,"₹
42 Lac"
2 BHK Builder Floor for Sale in Nana Varachha Surat,1080 sqft,"₹
35 Lac"
2 BHK Apartment for Sale in Patel Nagar Surat,730 sqft,"₹
28.1 Lac"
3 BHK Apartment for Sale in Chikuwadi Surat,800 sqft,"₹
30.3 Lac"
"2 BHK Apartment for Sale in Nakshatra Platinum, Palanpur Gam Surat",1227 sqft,"₹
45 Lac"
"2 BHK House for Sale in Samarthya Serene, Masma Village Surat",750 sqft,"₹
26 Lac"
"2 BHK Apartment for Sale in Ratna Shyam Residency, Althan Surat",1375 sqft,"₹
65 Lac"
"3 BHK Apartment for Sale in Western Somchintamani Residency ,Pal, Surat Surat",1193 sqft,"₹
99 Lac"
2 BHK Builder Floor for Sale in Adajan Surat,800 sqft,"₹
60 Lac"
4 BHK House for Sale in Pandesara Surat,1200 sqft,"₹
82 Lac"
4 BHK Apartment for Sale in Vesu Canal Road Surat,2505 sqft,"₹
2.09 Cr"
3 BHK Apartment for Sale in Dumas Road Surat,1890 sqft,"₹
1.25 Cr"
4 BHK Villa for Sale in NavYug College Surat,2170 sqft,"₹
2.41 Cr"
3 BHK Apartment for Sale in Patel Nagar Surat,2170 sqft,"₹
59.7 Lac"
"3 BHK Apartment for Sale in Rajhans Orange, Palan Pur Patiya Surat",1580 sqft,"₹
51 Lac"
2 BHK Builder Floor for Sale in Bhagal Surat,700 sqft,"₹
22.5 Lac"
4 BHK House for Sale in Gajera Road Surat,1220 sqft,"₹
1.04 Cr"
2 BHK House for Sale in Ramnagar Surat,480 sqft,"₹
60 Lac"
3 BHK House for Sale in Saniya Kande Surat,1440 sqft,"₹
41.5 Lac"
2 BHK Builder Floor for Sale in Surat,753 sqft,"₹
10.5 Lac"
2 BHK Apartment for Sale in Gohod Dor Oad Surat,1080 sqft,"₹
60 Lac"
"2 BHK Apartment for Sale in Khushi Krish Heights, Adajan Surat",1485 sqft,"₹
85 Lac"
"3 BHK Apartment for Sale in Yogi Heights, Nana Varachha Surat",950 sqft,"₹
75 Lac"
2 BHK Apartment for Sale in Katargam Surat,950 sqft,"₹
40.5 Lac"
"3 BHK Apartment for Sale in Western city, pal Surat",1585 sqft,"₹
56 Lac"
2 BHK Apartment for Sale in Parvat Patiya Surat,724 sqft,"₹
47 Lac"
"2 BHK Apartment for Sale in Someshwara Enclave, Vesu Surat",1250 sqft,"₹
46 Lac"
"2 BHK Apartment for Sale in Siddhi Residency, Pal Gam Surat",1325 sqft,"₹
50 Lac"
"2 BHK Apartment for Sale in Pragati Nagar, Piplod Surat",1160 sqft,"₹
35 Lac"
2 BHK Apartment for Sale in Adajan Surat,650 sqft,"₹
28 Lac"
"2 BHK Apartment for Sale in Swapna Shurshti, Pal Road Surat",1031 sqft,"₹
38 Lac"
3 BHK House for Sale in Citylight Area Surat,98 sqyrd,"₹
1.50 Cr"
"2 BHK Apartment for Sale in Raghuvir Saffron, Althan Surat",1204 sqft,"₹
57 Lac"
4 BHK House for Sale in Bhagal Surat,800 sqft,"₹
1.30 Cr"
3 BHK Apartment for Sale in vasty residancy Surat,1680 sqft,"₹
70 Lac"
3 BHK Villa for Sale in Palanpur Surat,108 sqyrd,"₹
1.21 Cr"
"2 BHK Apartment for Sale in Rajhans Platinum Residency, Palanpur Gam Surat",1215 sqft,"₹
43 Lac"
3 BHK House for Sale in HRP bungalows Surat,67 sqm,"₹
24 Lac"
3 BHK Apartment for Sale in Adajan Surat,1950 sqft,"₹
1.35 Cr"
3 BHK House for Sale in Tadwadi Surat,1400 sqft,"₹
1.50 Cr"
"2 BHK Apartment for Sale in Rajhans Belliza, Dumas Road Surat",1000 sqft,"₹
45 Lac"
2 BHK Builder Floor for Sale in Amroli Surat,985 sqft,"₹
25 Lac"
2 BHK Apartment for Sale in Ram Pura Surat,800 sqft,"₹
25 Lac"
3 BHK Apartment for Sale in Citylight Area Surat,2580 sqft,"₹
85 Lac"
3 BHK House for Sale in Piramyd Township Ugat canal road Surat,2500 sqft,"₹
1.50 Cr"
"3 BHK Apartment for Sale in Avadh Habitat, Dumas Road Surat",2329 sqft,"₹
1.20 Cr"
2 BHK Apartment for Sale in Rajhans residency jahnagirpura Surat,700 sqft,"₹
42 Lac"
2 BHK Apartment for Sale in Shreeji vihar adajan Surat,1750 sqft,"₹
90 Lac"
"3 BHK Apartment for Sale in Green Arcade, Adajan Surat",2041 sqft,"₹
76 Lac"
"3 BHK Apartment for Sale in Green Residency, Adajan Surat",1175 sqft,"₹
85 Lac"
2 BHK Apartment for Sale in Athwa Surat,1400 sqft,"₹
50 Lac"
4 BHK House for Sale in Adajan Surat,1800 sqft,"₹
1.95 Cr"
2 BHK Builder Floor for Sale in Pasodara Surat,861 sqft,"₹
14 Lac"
2 BHK Apartment for Sale in Chowk Bazar Surat,788 sqft,"₹
20.6 Lac"
"3 BHK Apartment for Sale in Shyam Shree Niketan, Vesu Surat",1700 sqft,"₹
1.50 Cr"
2 BHK House for Sale in Salabatura Surat,192 sqyrd,"₹
15 Lac"
4 BHK House for Sale in Navagam Surat,1450 sqft,"₹
30 Lac"
"2 BHK Apartment for Sale in Gopinathji Shukan Heights, Palanpur Gam Surat",690 sqft,"₹
22 Lac"
3 BHK Apartment for Sale in Bhatar Road Surat,1651 sqft,"₹
61 Lac"
3 BHK Apartment for Sale in Piplod Surat,1100 sqft,"₹
56 Lac"
"2 BHK Apartment for Sale in Shivalik Square, Dindoli Surat",565 sqft,"₹
23.5 Lac"
"3 BHK Apartment for Sale in Aagam Siddhi, Vesu Surat",1416 sqft,"₹
1.51 Cr"
4 BHK Villa for Sale in LP Savani Surat,2400 sqft,"₹
1.20 Cr"
2 BHK Apartment for Sale in Bhatar Road Surat,1080 sqft,"₹
35 Lac"
2 BHK Apartment for Sale in Magdalla Surat,1156 sqft,"₹
47.5 Lac"
"2 BHK Apartment for Sale in Shubham Park, Adajan Surat",1254 sqft,"₹
46 Lac"
"3 BHK Apartment for Sale in Raj Abhishek City Homes, Sachin Surat",1360 sqft,"₹
45 Lac"
3 BHK House for Sale in Singanpor Surat,820 sqft,"₹
45 Lac"
"3 BHK Apartment for Sale in Avantis Ofira Siesta, Vesu Canal Road Surat",2800 sqft,"₹
1.82 Cr"
"3 BHK Apartment for Sale in Green City, Bhatha Surat",1812 sqft,"₹
65 Lac"
"2 BHK Apartment for Sale in Suryarath Apartment, Adajan Patiya Surat",1200 sqft,"₹
38 Lac"
3 BHK Apartment for Sale in Jahangir Pura Surat,1694 sqft,"₹
60 Lac"
"2 BHK Apartment for Sale in Raj Abhishek City Homes, Sachin Surat",962 sqft,"₹
27 Lac"
2 BHK House for Sale in Gopinath Row House Surat,893 sqft,"₹
75 Lac"
3 BHK Apartment for Sale in Palan Pur Patiya Surat,770 sqft,"₹
52 Lac"
4 BHK House for Sale in Govind Nagar Kanpur,9400 sqft,"₹
4.21 Cr"
"4 BHK Flat for Sale in Lakhanpur, Kanpur",1100 sqft,"₹
80 Lac"
"3 BHK Flat for Sale in Raghunath Enclave, Gandhigram, Kanpur",1175 sqft,"₹
75 Lac"
"3 BHK Flat for Sale in Sarvodayanagar, Kanpur",1350 sqft,"₹
1.16 Cr"
2 BHK House for Sale in Koyla Nagar Kanpur,900 sqft,"₹
49.9 Lac"
"3 BHK Flat for Sale in Gwaltoli, Kanpur",1100 sqft,"₹
48 Lac"
2 BHK House for Sale in Keshav Nagar Kanpur,1800 sqft,"₹
2.50 Cr"
"3 BHK Flat for Sale in Kakadeo, Kanpur",1500 sqft,"₹
84 Lac"
3 BHK House for Sale in Panki Gangaganj Kanpur,2228 sqft,"₹
3.20 Cr"
"3 BHK Flat for Sale in Sharda Nagar, Kanpur",1350 sqft,"₹
68 Lac"
"3 BHK Flat for Sale in Vinayakpur, Kanpur",1400 sqft,"₹
62 Lac"
"2 BHK Flat for Sale in Souterganj, Kanpur",1033 sqft,"₹
43 Lac"
"2 BHK Flat for Sale in Birhana Road, Kanpur",700 sqft,"₹
50 Lac"
"2 BHK Flat for Sale in KDA Residency, Kidwai Nagar, Kanpur",1200 sqft,"₹
1.05 Cr"
"3 BHK Flat for Sale in Shyam Nagar, Kanpur",1350 sqft,"₹
57 Lac"
"2 BHK Flat for Sale in Swaroop Nagar, Kanpur",1000 sqft,"₹
80 Lac"
"4 BHK Flat for Sale in Pandunagar, Kanpur",1800 sqft,"₹
1.60 Cr"
"3 BHK Flat for Sale in Pandunagar, Kanpur",5900 sqft,"₹
4.50 Cr"
"2 BHK Flat for Sale in Defence Colony, Kanpur",860 sqft,"₹
50 Lac"
"4 BHK Flat for Sale in Swaroop Nagar, Kanpur",2250 sqft,"₹
2.10 Cr"
3 BHK House for Sale in Lal Bangla Kanpur,1000 sqft,"₹
88 Lac"
4 BHK Flat for Sale in Kanpur,2500 sqft,"₹
1.25 Cr"
4 BHK House for Sale in Ambedkar Puram Kanpur,63 sqm,"₹
73.5 Lac"
"3 BHK Flat for Sale in Keshav Nagar, Kanpur",1250 sqft,"₹
68 Lac"
"3 BHK Flat for Sale in Vikash Nagar, Kanpur",1500 sqft,"₹
1.30 Cr"
3 BHK House for Sale in Awas Vikas Kanpur,1560 sqft,"₹
1.80 Cr"
"3 BHK Flat for Sale in Mayur Utsav, Singhpur, Kanpur",1323 sqft,"₹
45 Lac"
"2 BHK Flat for Sale in Anand Gooba Garden, Kalyan Pur, Kanpur",810 sqft,"₹
44 Lac"
3 BHK Apartment for Sale in Kakadeo Kanpur,1315 sqft,"₹
75 Lac"
4 BHK Villa for Sale in Krishannagar Kanpur,1080 sqft,"₹
50 Lac"
2 BHK House for Sale in Ramadevi Kanpur,900 sqft,"₹
45 Lac"
3 BHK Apartment for Sale in Saket Nagar Kanpur,1365 sqft,"₹
60 Lac"
3 BHK Apartment for Sale in Krishannagar Kanpur,1630 sqft,"₹
81 Lac"
2 BHK Builder Floor for Sale in Govindnagar Kanpur,800 sqft,"₹
45 Lac"
3 BHK House for Sale in Kalyan Pur Kanpur,150 sqm,"₹
2.10 Cr"
4 BHK Apartment for Sale in Sarvodayanagar Kanpur,2500 sqft,"₹
2.70 Cr"
3 BHK Apartment for Sale in Khalasi Lines Kanpur,1850 sqft,"₹
1.50 Cr"
"3 BHK Apartment for Sale in Ratan Orbit, Indranagar Kanpur",1953 sqft,"₹
1.38 Cr"
3 BHK House for Sale in Sanjeev Nagar Kanpur,2000 sqft,"₹
75 Lac"
3 BHK Builder Floor for Sale in Vikash Nagar Kanpur,1400 sqft,"₹
68 Lac"
3 BHK Builder Floor for Sale in Kakadev Kanpur,1300 sqft,"₹
72 Lac"
4 BHK Apartment for Sale in Swaroop Nagar Kanpur,3880 sqft,"₹
4.50 Cr"
"3 BHK Apartment for Sale in Skyline The Peak, Mainawati Marg Kanpur",1600 sqft,"₹
1.19 Cr"
4 BHK House for Sale in Lal Bangla Kanpur,1700 sqft,"₹
72 Lac"
"3 BHK Apartment for Sale in orbit, Indranagar Kanpur",1200 sqft,"₹
49 Lac"
"3 BHK Apartment for Sale in Shyam Nagar Kanpur, Shyam Nagar Kanpur",1250 sqft,"₹
55 Lac"
2 BHK Apartment for Sale in Tilaknagar Kanpur,1080 sqft,"₹
45 Lac"
2 BHK Apartment for Sale in Kidwai Nagar Kanpur,110 sqft,"₹
56 Lac"
2 BHK House for Sale in Kalyan Pur Kanpur,262 sqyrd,"₹
2.10 Cr"
3 BHK Apartment for Sale in Keshav Puram Kanpur,200000 sqft,"₹
61.5 Lac"
2 BHK Apartment for Sale in Civil Lines Kanpur,770 sqft,"₹
65 Lac"
3 BHK House for Sale in Hanspuram Kanpur,202 sqm,"₹
1.25 Cr"
2 BHK Builder Floor for Sale in Sharda Nagar Kanpur,900 sqft,"₹
45 Lac"
3 BHK House for Sale in Jawahar Puram Kanpur,1600 sqft,"₹
1.10 Cr"
3 BHK Apartment for Sale in Pandunagar Kanpur,1000 sqft,"₹
55 Lac"
4 BHK House for Sale in Naubasta Kanpur,1320 sqft,"₹
44 Lac"
4 BHK Builder Floor for Sale in Patrakarpuram Kanpur,1500 sqft,"₹
1.30 Cr"
"3 BHK Apartment for Sale in AR City Shyamleela Parker, Gita Nagar Kanpur",2000 sqft,"₹
1.60 Cr"
3 BHK Apartment for Sale in Kakadev Kanpur,1000 sqft,"₹
65 Lac"
"3 BHK Apartment for Sale in Chandak Murli Manohar, Khalasi Lines Kanpur",1600 sqft,"₹
1.40 Cr"
3 BHK Apartment for Sale in Awas Vikas Kanpur,941 sqft,"₹
1 Cr"
"4 BHK Apartment for Sale in Chandak Imperial Galaxy, Swarupnagar Kanpur",3230 sqft,"₹
4.50 Cr"
4 BHK Apartment for Sale in Residency apt Kanpur,2400 sqft,"₹
2.45 Cr"
3 BHK Apartment for Sale in Azad Nagar Kanpur,1690 sqft,"₹
1.10 Cr"
2 BHK Builder Floor for Sale in Kakadeo Kanpur,1080 sqft,"₹
55 Lac"
"4 BHK Apartment for Sale in JS The Address, Jajmau Kanpur",2200 sqft,"₹
1.65 Cr"
3 BHK House for Sale in makdikhera Kanpur,1050 sqft,"₹
67 Lac"
"3 BHK Apartment for Sale in Rudra Greens, Kalyan Pur Kanpur",1585 sqft,"₹
80 Lac"
3 BHK Apartment for Sale in Satguru Villa Appartment Kanpur,965 sqft,"₹
62 Lac"
3 BHK Apartment for Sale in Ratanlal Nagar Kanpur,1270 sqft,"₹
60 Lac"
2 BHK Villa for Sale in Bithoor Kanpur,900 sqft,"₹
55 Lac"
3 BHK Apartment for Sale in Birhana Road Kanpur,900 sqft,"₹
70 Lac"
3 BHK Builder Floor for Sale in Lal Bangla Kanpur,1400 sqft,"₹
56 Lac"
3 BHK House for Sale in Govind Nagar Kanpur,750 sqft,"₹
90 Lac"
2 BHK House for Sale in Awas Vikas Kanpur,162 sqm,"₹
1.50 Cr"
4 BHK House for Sale in Vinayakpur Kanpur,1800 sqft,"₹
1.10 Cr"
3 BHK House for Sale in Mangala Vihar Kanpur,900 sqft,"₹
45 Lac"
2 BHK House for Sale in Chunni Ganj Kanpur,30 sqyrd,"₹
25 Lac"
2 BHK Apartment for Sale in Lajpatnagar Kanpur,800 sqft,"₹
48 Lac"
3 BHK House for Sale in Naubasta Kanpur,50 sqyrd,"₹
45 Lac"
4 BHK House for Sale in Awas Vikas Kanpur,87 sqm,"₹
85 Lac"
2 BHK House for Sale in Swarnjayanti Vihar Kanpur,1212 sqft,"₹
50 Lac"
2 BHK Builder Floor for Sale in Ratanlal Nagar Kanpur,75 sqyrd,"₹
55 Lac"
2 BHK House for Sale in Lakhanpur Kanpur,1600 sqft,"₹
1.35 Cr"
2 BHK Apartment for Sale in Latouche Road Kanpur,666 sqft,"₹
23 Lac"
4 BHK Villa for Sale in Kakadev Kanpur,9000 sqft,"₹
5 Cr"
"3 BHK Apartment for Sale in Pincodes Ratan Jewels, Affim Kothi Kanpur",1196 sqft,"₹
1.25 Cr"
"3 BHK Apartment for Sale in Kingswood Preet Enclave, Azad Nagar Kanpur",1500 sqft,"₹
1.25 Cr"
3 BHK Apartment for Sale in Lal Bangla Kanpur,1750 sqft,"₹
65 Lac"
3 BHK Apartment for Sale in Swarupnagar Kanpur,1600 sqft,"₹
1.15 Cr"
2 BHK Apartment for Sale in Keshav Puram Kanpur,985 sqft,"₹
50 Lac"
2 BHK Apartment for Sale in Sharda Nagar Kanpur,980 sqft,"₹
59 Lac"
2 BHK Apartment for Sale in KAMLA TOWER Kanpur,1000 sqft,"₹
31 Lac"
2 BHK Builder Floor for Sale in Gumti - 5 Kanpur,500 sqft,"₹
27 Lac"
3 BHK House for Sale in Kanpur,42 sqm,"₹
62 Lac"
4 BHK Villa for Sale in Barra Kanpur,650 sqft,"₹
7.50 Cr"
3 BHK Penthouse for Sale in Shyam Nagar Kanpur,2100 sqft,"₹
95 Lac"
"3 BHK Apartment for Sale in Emerald Gulistan, Jajmau Kanpur",1600 sqft,"₹
1.05 Cr"
3 BHK Builder Floor for Sale in Shyam Nagar Kanpur,1600 sqft,"₹
90 Lac"
"2 BHK Apartment for Sale in Pushpi Apartment, Sharda Nagar Kanpur",997 sqft,"₹
63 Lac"
3 BHK Apartment for Sale in Civil Lines Kanpur,109 sqm,"₹
72 Lac"
3 BHK Builder Floor for Sale in Ashoknagar Kanpur,1100 sqft,"₹
33 Lac"
2 BHK Apartment for Sale in Mainawati Marg Kanpur,1300 sqft,"₹
56 Lac"
2 BHK Apartment for Sale in Parwati Bagla Road Kanpur,1043 sqft,"₹
57.4 Lac"
3 BHK Apartment for Sale in Swaroop Nagar Kanpur,1350 sqft,"₹
1.05 Cr"
4 BHK House for Sale in Chamanganj Kanpur,650 sqft,"₹
65 Lac"
3 BHK Apartment for Sale in Shastrinagar Kanpur,1250 sqft,"₹
75 Lac"
3 BHK Villa for Sale in Shyam Nagar Kanpur,1600 sqft,"₹
1.70 Cr"
3 BHK Apartment for Sale in Jajmau Kanpur,900 sqft,"₹
40 Lac"
"3 BHK Apartment for Sale in KDA Residency, Barah Devi Chaurah Kanpur",127 sqm,"₹
82 Lac"
3 BHK Builder Floor for Sale in Panki Kanpur,1100 sqft,"₹
55 Lac"
4 BHK House for Sale in Jagai Purwa Kanpur,557 sqft,"₹
65 Lac"
3 BHK House for Sale in Premnagar Kanpur,115 sqyrd,"₹
1.20 Cr"
2 BHK House for Sale in Azad Nagar Kanpur,1068 sqft,"₹
55 Lac"
4 BHK House for Sale in Harjindar Nagar Kanpur,1500 sqft,"₹
48 Lac"
